Classifier,Accuracy,Precision,Recall,F1 Score,AUC Score
LogisticRegression,0.7135678391959799,0.7167876622983482,0.7135678391959799,0.679436186294711,0.7923501749781278
SVM,0.7085427135678392,0.7006109685116229,0.7085427135678392,0.7018688795996386,0.7482502187226596
RandomForest,0.6407035175879398,0.7701226535701176,0.6407035175879398,0.5029950856033438,0.7754948600174978
Ensemble (Voting),0.7135678391959799,0.7204908953368996,0.7135678391959799,0.6764641042963708,
